iter	Passed	Remaining
0	101	75740
1	127	47397
2	222	54985
3	289	53618
4	343	50810
5	400	49300
6	458	48289
7	537	49498
8	594	48629
9	619	45503
10	651	43491
11	696	42549
12	757	42638
13	827	43208
14	852	41473
15	892	40656
16	942	40362
17	1039	41978
18	1092	41763
19	1147	41605
20	1205	41565
21	1261	41449
22	1320	41446
23	1376	41347
24	1430	41211
25	1472	40709
26	1528	40658
27	1537	39379
28	1594	39364
29	1641	39129
30	1696	39068
31	1736	38701
32	1767	38137
33	1782	37270
34	1839	37323
35	1895	37327
36	1954	37393
37	1978	36805
38	2037	36885
39	2072	36519
40	2127	36539
41	2185	36575
42	2242	36607
43	2274	36242
44	2307	35893
45	2369	36013
46	2425	36022
47	2483	36061
48	2539	36072
49	2596	36095
50	2652	36096
51	2700	35988
52	2732	35674
53	2791	35718
54	2847	35719
55	2909	35799
56	2966	35804
57	3022	35806
58	3079	35805
59	3104	35438
60	3119	34983
61	3174	34966
62	3215	34812
63	3271	34806
64	3330	34837
65	3387	34852
66	3445	34862
67	3502	34865
68	3560	34880
69	3592	34640
70	3627	34431
71	3682	34420
72	3732	34357
73	3787	34342
74	3804	33984
75	3861	33994
76	3920	34011
77	3941	33704
78	4007	33780
79	4077	33897
80	4140	33942
81	4160	33636
82	4220	33664
83	4283	33707
84	4348	33767
85	4407	33774
86	4433	33531
87	4494	33551
88	4557	33591
89	4614	33582
90	4648	33408
91	4706	33408
92	4752	33321
93	4813	33337
94	4864	33283
95	4890	33064
96	4953	33094
97	4962	32763
98	5020	32761
99	5060	32640
100	5118	32637
101	5176	32632
102	5232	32611
103	5290	32605
104	5355	32644
105	5433	32757
106	5498	32784
107	5561	32801
108	5631	32856
109	5647	32603
110	5703	32574
111	5758	32545
112	5818	32544
113	5875	32522
114	5936	32519
115	5996	32517
116	6057	32515
117	6123	32535
118	6206	32651
119	6217	32380
120	6280	32389
121	6337	32363
122	6414	32436
123	6441	32258
124	6502	32250
125	6569	32272
126	6605	32145
127	6665	32127
128	6703	32012
129	6762	31989
130	6817	31954
131	6876	31932
132	6935	31912
133	6997	31907
134	7059	31897
135	7099	31791
136	7160	31779
137	7211	31720
138	7270	31698
139	7329	31673
140	7348	31478
141	7438	31589
142	7497	31563
143	7558	31548
144	7617	31519
145	7663	31440
146	7722	31414
147	7809	31502
148	7947	31788
149	8009	31772
150	8105	31885
151	8184	31929
152	8270	32000
153	8341	32010
154	8354	31800
155	8402	31726
156	8476	31746
157	8564	31820
158	8663	31928
